taxon_name,taxon_rank,adult_habitat,habitat_selectivity,range_gamete_km,range_larva_km,range_adult_km,size_adult_cm,higher_group,known_to_puget_sound
Mactridae,family,marine,1,10,10,0,1,Veneroida,1
Otomorpha,below-infraclass,multiple,multiple,multiple,multiple,multiple,multiple,Actinopterygii,1
Psammobiidae,family,marine,1,10,10,0,1,Veneroida,1
Scyliorhinidae,family,marine,1,0,0,100,100,Chondrichthyes,1
Bovidae,family,terrestrial,1,0,0,0,200,Mammalia,NA
Salamandridae,family,terrestrial,1,0,0,1,10,Amphibia,0
Phocoenidae,family,marine,1,0,0,100,1000,Odontoceti,1
Cerambycidae,family,terrestrial,1,0,0,10,1,Coleoptera,1
Cichlidae,family,freshwater,1,0,0,1,10,Actinopterygii,0
Osmeridae,family,diadromous,1,0,10,10,10,NA,1
Odontoceti,Parvorder,marine,1,0,0,100,1000,NA,1
Squalimorphii,below-infraclass,marine,1,0,0,100,100,NA,1
Osmeriformes,order,diadromous,1,0,10,10,10,NA,1
Pyrgomatidae,family,marine,1,0,10,0,1,NA,1
Gempylidae,family,marine,1,unknown,unknown,unknown,100,Perciformes,NA
Cancridae,family,bottom,1,0,10,1,10,Brachyura,1
Liparidae,family,marine,1,unknown,unknown,1,30,Scorpaeniformes,1
Latrunculiidae,family,marine,1,10,10,0,unknown,Porifera,1
Patellidae,family,hard_bottom,1,10,10,0,1,NA,1
Chthamalidae,family,marine,1,0,10,0,1,NA,1
Porifera,phylum,marine,1,10,10,0,multiple,NA,1
Acestrorhynchidae,family,freshwater,1,unknown,unknown,unknown,10,Characiformes,0
Enteropneusta,class,marine,1,10,10,0,10,NA,1
Daphniidae,family,freshwater,1,0,10,10,0.01,Cladocera,0
Pharidae,family,soft_bottom,1,10,10,0,10,Veneroida,1
Brachycephalidae,family,terrestrial,1,0,0,1,1,Amphibia,0
Cochlostomatidae,family,terrestrial,1,0,0,1,1,Caenogastropoda,NA
Acartiidae,family,marine,1,10,10,10,.01,Calanoida,NA
Muraenidae,family,bottom,1,10,10,1,100,Anguilliformes,0
Aspidodiadematidae,family,marine,1,10,10,10,1,Echinoidea,NA
Balanidae,family,intertidal_rocky,1,0,10,0,1,NA,1
Elusimicrobiaceae,family,NA,0,0,0,10,0.0001,Bacteria,NA
Kryptoglanidae,family,freshwater,1,NA,NA,NA,NA,Siluriformes,0
Sergestidae,family,pelagic,0.5,NA,10,10,1,Dendrobranchiata,1
Callyspongiidae,family,marine,1,10,10,0,unknown,Porifera,NA
Polyplacophora,class,marine,1,10,10,0,1,NA,1
Carinomidae,family,NA,NA,NA,NA,NA,NA,Nemertea,1
Astriclypeidae,family,NA,NA,NA,NA,NA,NA,Echinoidea,NA
Fissurellidae,family,hard_bottom,1,unknown,10,1,1,NA,1
Kelliidae,family,NA,NA,NA,NA,NA,NA,Galeommatoidea,1
Halichondriidae,family,NA,NA,NA,NA,NA,NA,Porifera,1
