"query_seq","Nhits","N_taxid_all","beste","Nhits_beste","N_taxid_beste","LCA_name_all","LCA_rank_all","LCA_id_all","LCA_name_beste","LCA_rank_beste","LCA_id_beste","class_all","order_all","family_all","class_beste","order_beste","family_beste","query_abundance"
"DUP_132;size=61222",2,1,6.13e-51,1,1,"Maculaura alaskensis","species","187798","Maculaura alaskensis","species","187798","Anopla","Heteronemertea","Lineidae","Anopla","Heteronemertea","Lineidae",61222
"DUP_13247;size=206",2,1,4.78e-47,2,1,"Syngnathus leptorhynchus","species","161587","Syngnathus leptorhynchus","species","161587","Actinopteri","Syngnathiformes","Syngnathidae","Actinopteri","Syngnathiformes","Syngnathidae",206
"DUP_13268;size=184",1,1,2.92e-34,1,1,"Pugettia producta","species","504418","Pugettia producta","species","504418","Malacostraca","Decapoda","Epialtidae","Malacostraca","Decapoda","Epialtidae",184
"DUP_13314;size=183",3,1,4.82e-32,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",183
"DUP_13319;size=200",1,1,1.78e-21,1,1,"Farrella repens","species","97262","Farrella repens","species","97262","Gymnolaemata","Ctenostomatida","Farrellidae","Gymnolaemata","Ctenostomatida","Farrellidae",200
"DUP_13383;size=181",8,6,2.85e-49,8,6,"Lottia","genus","72691","Lottia","genus","72691","Gastropoda",NA,"Lottiidae","Gastropoda",NA,"Lottiidae",181
"DUP_1339;size=18362",102,75,1.34e-42,26,21,"Gnathostomata","below-subphylum","7776","Actinopteri","class","186623",NA,NA,NA,"Actinopteri",NA,NA,18362
"DUP_134;size=62979",107,10,4.74e-52,107,10,"Bovidae","family","9895","Bovidae","family","9895","Mammalia",NA,"Bovidae","Mammalia",NA,"Bovidae",62979
"DUP_1342;size=4924",14,7,1.03e-48,14,7,"Boreoeutheria","below-class","1437010","Boreoeutheria","below-class","1437010","Mammalia",NA,NA,"Mammalia",NA,NA,4924
"DUP_13433;size=197",13,3,2.94e-29,13,3,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",197
"DUP_13458;size=307",9,3,1.77e-26,6,2,"Tellinoidea","superfamily","98297","Tellinoidea","superfamily","98297","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida",NA,307
"DUP_13486;size=221",6,2,4.82e-32,2,1,"Veneridae","family","6592","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",221
"DUP_135;size=59366",52,10,8.12e-25,1,1,"Veneroida","order","6580","Ensis arcuatus","species","251530","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Pharidae",59366
"DUP_13530;size=191",1,1,4.84e-37,1,1,"Astriclypeus manni","species","31188","Astriclypeus manni","species","31188","Echinoidea","Clypeasteroida","Astriclypeidae","Echinoidea","Clypeasteroida","Astriclypeidae",191
"DUP_13638;size=176",2,2,4.82e-32,2,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",176
"DUP_13664;size=175",2,1,1.35e-37,2,1,"Stichopus naso","species","574474","Stichopus naso","species","574474","Holothuroidea","Aspidochirotida","Stichopodidae","Holothuroidea","Aspidochirotida","Stichopodidae",175
"DUP_13688;size=187",4,1,1.78e-21,4,1,"Mytilus californianus","species","6549","Mytilus californianus","species","6549","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",187
"DUP_13696;size=178",4,1,1.37e-32,1,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",178
"DUP_13714;size=313",2,1,1.01e-48,2,1,"Protothaca jedoensis","species","224094","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",313
"DUP_13716;size=176",3,3,3.87e-23,1,1,"Vetigastropoda","below-class","216275","Emarginula variegata","species","351229","Gastropoda",NA,NA,"Gastropoda",NA,"Fissurellidae",176
"DUP_13726;size=458",143,107,4.78e-47,142,106,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,458
"DUP_13730;size=174",19,1,1.36e-32,13,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",174
"DUP_1374;size=4879",1,1,1.03e-43,1,1,"Carinoma mutabilis","species","187807","Carinoma mutabilis","species","187807","Palaeonemertea",NA,"Carinomidae","Palaeonemertea",NA,"Carinomidae",4879
"DUP_13769;size=296",15,13,3.69e-48,15,13,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,296
"DUP_138;size=58696",6,5,1.34e-32,1,1,"Galeommatoidea","superfamily","106228","Bornia sebetia","species","1411933","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Kelliidae",58696
"DUP_13802;size=185",15,10,1.77e-26,2,2,"Tellinoidea","superfamily","98297","Tellinoidea","superfamily","98297","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida",NA,185
"DUP_13834;size=190",1,1,4.74e-52,1,1,"Hymeniacidon sinapium","species","364019","Hymeniacidon sinapium","species","364019","Demospongiae","Suberitida","Halichondriidae","Demospongiae","Suberitida","Halichondriidae",190
"DUP_1384;size=5515",7,5,8.01e-35,3,2,"Monostilifera","order","6227","Monostilifera","order","6227","Enopla","Monostilifera",NA,"Enopla","Monostilifera",NA,5515
"DUP_13885;size=339",106,29,2.22e-45,105,29,"Clupeocephala","below-infraclass","186625","Clupeocephala","below-infraclass","186625","Actinopteri",NA,NA,"Actinopteri",NA,NA,339
"DUP_13910;size=171",2,1,2.27e-30,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",171
"DUP_1392;size=4142",8,5,8.05e-40,1,1,"Lepraliomorpha","below-infraorder","193241","Phidolopora pacifica","species","97277","Gymnolaemata","Cheilostomatida",NA,"Gymnolaemata","Cheilostomatida","Phidoloporidae",4142
"DUP_13929;size=170",56,7,6.31e-31,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",170
"DUP_13961;size=202",18,1,2.22e-45,18,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",202
"DUP_13963;size=194",9,4,3.75e-28,1,1,"Tellinoidea","superfamily","98297","Solecurtus divaricatus","species","444102","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Solecurtidae",194
"DUP_13973;size=219",9,4,6.22e-41,3,2,"Majoidea","superfamily","6804","Majoidea","superfamily","6804","Malacostraca","Decapoda",NA,"Malacostraca","Decapoda",NA,219
"DUP_13996;size=212",9,7,1.77e-26,2,2,"Gastropoda","class","6448","Gastropoda","class","6448","Gastropoda",NA,NA,"Gastropoda",NA,NA,212
"DUP_14;size=2278180",104,2,4.74e-52,104,2,"Homo sapiens","species","9606","Homo sapiens","species","9606","Mammalia","Primates","Hominidae","Mammalia","Primates","Hominidae",2278180
"DUP_140;size=50353",1,1,4.86e-17,1,1,"Ampithoe longimana","species","134542","Ampithoe longimana","species","134542","Malacostraca","Amphipoda",NA,"Malacostraca","Amphipoda",NA,50353
"DUP_14022;size=169",1,1,1.35e-27,1,1,"Moerella culter","species","1230543","Moerella culter","species","1230543","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",169
"DUP_14027;size=168",4,3,2.92e-34,1,1,"Gastropoda","class","6448","Olivella volutella","species","604254","Gastropoda",NA,NA,"Gastropoda",NA,"Olividae",168
"DUP_14050;size=210",51,38,4.78e-47,6,5,"Clupeocephala","below-infraclass","186625","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,210
"DUP_1409;size=4098",3,3,4.95e-22,1,1,"Gastropoda","class","6448","Floridobia floridana","species","199861","Gastropoda",NA,NA,"Gastropoda",NA,"Hydrobiidae",4098
