"query_seq","Nhits","N_taxid_all","beste","Nhits_beste","N_taxid_beste","LCA_name_all","LCA_rank_all","LCA_id_all","LCA_name_beste","LCA_rank_beste","LCA_id_beste","class_all","order_all","family_all","class_beste","order_beste","family_beste","query_abundance"
"DUP_2567;size=2366",103,41,2.22e-45,103,41,"Clupeocephala","below-infraclass","186625","Clupeocephala","below-infraclass","186625","Actinopteri",NA,NA,"Actinopteri",NA,NA,2366
"DUP_25682;size=65",59,8,6.31e-31,13,3,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",65
"DUP_25787;size=86",101,61,1.33e-47,5,3,"Gnathostomata","below-subphylum","7776","Bathyraja","genus","117870",NA,NA,NA,"Chondrichthyes","Rajiformes","Arhynchobatidae",86
"DUP_25814;size=65",18,1,3.69e-48,18,1,"Ruditapes philippinarum","species","129788","Ruditapes philippinarum","species","129788","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",65
"DUP_25825;size=69",5,4,1.35e-27,2,2,"Tellinoidea","superfamily","98297","Soletellina","genus","1125680","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Psammobiidae",69
"DUP_25826;size=65",3,1,6.27e-36,1,1,"Rhynchozoon sp. MHD-2004","species","271756","Rhynchozoon sp. MHD-2004","species","271756","Gymnolaemata","Cheilostomatida","Phidoloporidae","Gymnolaemata","Cheilostomatida","Phidoloporidae",65
"DUP_25834;size=88",7,3,1.77e-26,3,2,"Solen","genus","165598","Solen","genus","165598","Bivalvia","Veneroida","Solenidae","Bivalvia","Veneroida","Solenidae",88
"DUP_2586;size=2235",100,9,1.36e-32,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2235
"DUP_25896;size=69",73,40,7.95e-40,2,1,"Thoracica","superorder","6676","Chelonibia testudinaria","species","217703","Maxillopoda",NA,NA,"Maxillopoda","Sessilia","Coronulidae",69
"DUP_2594;size=1988",7,4,2.92e-34,7,4,"Stichopodidae","family","7687","Stichopodidae","family","7687","Holothuroidea","Aspidochirotida","Stichopodidae","Holothuroidea","Aspidochirotida","Stichopodidae",1988
"DUP_25952;size=80",52,6,6.18e-46,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",80
"DUP_2600;size=2404",100,8,1.33e-47,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2404
"DUP_26059;size=64",105,78,1.03e-43,15,11,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,64
"DUP_2607;size=2133",32,22,1.33e-47,3,3,"Lottioidea","superfamily","216260","Lottioidea","superfamily","216260","Gastropoda",NA,NA,"Gastropoda",NA,NA,2133
"DUP_2608;size=2150",3,1,2.23e-35,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",2150
"DUP_26083;size=72",45,30,7.8e-45,34,25,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,72
"DUP_2610;size=2239",4,3,1.03e-48,4,3,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,2239
"DUP_26116;size=69",2,1,6.22e-41,2,1,"Modiolus modiolus","species","40256","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",69
"DUP_2619;size=2329",55,7,3.74e-38,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2329
"DUP_26231;size=71",54,7,4.81e-42,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",71
"DUP_26250;size=74",13,8,4.91e-27,1,1,"Tellinoidea","superfamily","98297","Pinguitellina sp. Mo77439","species","1230584","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Tellinidae",74
"DUP_2631;size=2767",100,11,1.03e-48,100,11,"Teleostei","infraclass","32443","Teleostei","infraclass","32443","Actinopteri",NA,NA,"Actinopteri",NA,NA,2767
"DUP_26370;size=135",1,1,1.77e-26,1,1,"Farrella repens","species","97262","Farrella repens","species","97262","Gymnolaemata","Ctenostomatida","Farrellidae","Gymnolaemata","Ctenostomatida","Farrellidae",135
"DUP_26387;size=63",12,9,1.05e-33,12,9,"Lottiidae","family","69676","Lottiidae","family","69676","Gastropoda",NA,"Lottiidae","Gastropoda",NA,"Lottiidae",63
"DUP_2640;size=2685",2,1,1.01e-48,2,1,"Euphausia pacifica","species","102976","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",2685
"DUP_26522;size=77",104,56,1.33e-47,15,13,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,77
"DUP_26560;size=70",8,1,2.91e-34,4,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",70
"DUP_26586;size=68",52,34,4.78e-47,1,1,"Neopterygii","subclass","41665","Belonophago hutsebouti","species","1108136","Actinopteri",NA,NA,"Actinopteri","Characiformes",NA,68
"DUP_26589;size=79",69,49,4.78e-47,8,7,"Clupeocephala","below-infraclass","186625","Argentiniformes","order","134613","Actinopteri",NA,NA,"Actinopteri","Argentiniformes",NA,79
"DUP_2660;size=2863",46,22,1.06e-28,3,2,"Protostomia","below-kingdom","33317","Lophotrochozoa","below-kingdom","1206795",NA,NA,NA,NA,NA,NA,2863
"DUP_26629;size=71",104,10,3.39e-28,104,10,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",71
"DUP_26694;size=77",3,3,7.9e-45,3,3,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",77
"DUP_2675;size=1775",3,2,3.8e-28,1,1,"Modiolus","genus","40255","Modiolus rumphii","species","1411923","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",1775
"DUP_2684;size=2827",2,2,8.22e-25,1,1,"Lucinidae","family","42655","Lucina pensylvanica","species","244477","Bivalvia","Lucinoida","Lucinidae","Bivalvia","Lucinoida","Lucinidae",2827
"DUP_269;size=19392",1,1,1.36e-32,1,1,"Bowerbankia sp. BOLD:ACO2433","species","1585633","Bowerbankia sp. BOLD:ACO2433","species","1585633","Gymnolaemata","Ctenostomatida","Vesiculariidae","Gymnolaemata","Ctenostomatida","Vesiculariidae",19392
"DUP_26907;size=69",1,1,1.72e-36,1,1,"Bornia sebetia","species","1411933","Bornia sebetia","species","1411933","Bivalvia","Veneroida","Kelliidae","Bivalvia","Veneroida","Kelliidae",69
"DUP_26911;size=83",3,1,3.7e-38,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",83
"DUP_26937;size=65",15,9,1.06e-28,1,1,"Lophotrochozoa","below-kingdom","1206795","Ilanga sp. 20 LS-2013","species","1286726",NA,NA,NA,"Gastropoda",NA,"Trochidae",65
"DUP_2695;size=1968",14,8,7.95e-40,5,2,"Cladocera","suborder","6665","Evadne","genus","141402","Branchiopoda","Diplostraca",NA,"Branchiopoda","Diplostraca","Podonidae",1968
"DUP_26986;size=67",11,10,3.75e-28,1,1,"Nemertea","phylum","6217","Prosadenoporus mortoni","species","433743","Enopla","Monostilifera",NA,"Enopla","Monostilifera","Prosorhochmidae",67
"DUP_26997;size=107",31,16,1.72e-36,31,16,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,107
"DUP_27;size=722565",3,3,2.27e-30,1,1,"Cephalothrix","genus","166041","cf. Cephalothrix sp. DH-2009","species","696317","Palaeonemertea",NA,"Cephalothricidae","Palaeonemertea",NA,"Cephalothricidae",722565
"DUP_2700;size=2363",16,14,6.22e-41,16,14,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,2363
"DUP_2709;size=2424",10,4,1.31e-47,2,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",2424
"DUP_27109;size=60",2,1,1.03e-38,2,1,"Protothaca jedoensis","species","224094","Protothaca jedoensis","species","224094","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",60
"DUP_27121;size=94",45,26,3.8e-28,2,2,"Lophotrochozoa","below-kingdom","1206795","Cephalothrix","genus","166041",NA,"Solemyoida",NA,"Palaeonemertea",NA,"Cephalothricidae",94
"DUP_27134;size=64",104,59,3.72e-43,17,15,"Echinoidea","class","7625","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,64
"DUP_2717;size=1797",100,58,1.03e-43,4,2,"Euteleostomi","below-subphylum","117571","Embiotocidae","family","50791",NA,NA,NA,"Actinopteri",NA,"Embiotocidae",1797
"DUP_27173;size=85",5,5,1.03e-48,5,5,"Clupeocephala","below-infraclass","186625","Clupeocephala","below-infraclass","186625","Actinopteri",NA,NA,"Actinopteri",NA,NA,85
"DUP_27200;size=73",173,135,1.05e-32,3,3,"Gnathostomata","below-subphylum","7776","Euteleostomi","below-subphylum","117571",NA,NA,NA,NA,NA,NA,73
"DUP_27333;size=63",103,79,7.93e-50,1,1,"Percomorphaceae","below-infraclass","1489872","Leptocottus armatus","species","214925","Actinopteri",NA,NA,"Actinopteri","Perciformes","Cottidae",63
"DUP_27450;size=63",104,55,6.22e-41,22,20,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,63
"DUP_27515;size=90",6,3,2.85e-49,6,3,"Batoidea","superorder","117893","Batoidea","superorder","117893","Chondrichthyes",NA,NA,"Chondrichthyes",NA,NA,90
"DUP_27564;size=59",31,15,2.2e-45,29,14,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,59
"DUP_27604;size=65",2,1,1.75e-31,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",65
"DUP_27668;size=62",3,1,2.24e-40,3,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",62
"DUP_277;size=19843",3,1,4.74e-52,3,1,"Homo sapiens","species","9606","Homo sapiens","species","9606","Mammalia","Primates","Hominidae","Mammalia","Primates","Hominidae",19843
"DUP_27754;size=61",18,2,1.04e-33,18,2,"Chthamalus","genus","37898","Chthamalus","genus","37898","Maxillopoda","Sessilia","Chthamalidae","Maxillopoda","Sessilia","Chthamalidae",61
"DUP_27773;size=60",3,3,3.82e-23,2,2,"Pancrustacea","below-phylum","197562","Thoracica","superorder","6676",NA,NA,NA,"Maxillopoda",NA,NA,60
"DUP_27899;size=63",61,16,6.08e-31,13,3,"Placobranchoidea","superfamily","71491","Placobranchidae","family","71492","Gastropoda",NA,NA,"Gastropoda",NA,"Placobranchidae",63
"DUP_2790;size=3006",2,1,2.2e-45,2,1,"Nobia grandis","species","432341","Nobia grandis","species","432341","Maxillopoda","Sessilia","Pyrgomatidae","Maxillopoda","Sessilia","Pyrgomatidae",3006
"DUP_27924;size=58",3,1,1.05e-33,3,1,"Rhynchozoon sp. MHD-2004","species","271756","Rhynchozoon sp. MHD-2004","species","271756","Gymnolaemata","Cheilostomatida","Phidoloporidae","Gymnolaemata","Cheilostomatida","Phidoloporidae",58
"DUP_27953;size=62",29,15,1.7e-46,5,3,"Paguroidea","superfamily","6744","Paguroidea","superfamily","6744","Malacostraca","Decapoda",NA,"Malacostraca","Decapoda",NA,62
"DUP_27973;size=58",3,2,1.38e-22,1,1,"Veneridae","family","6592","Callista brevisiphonata","species","366652","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",58
"DUP_2798;size=2174",6,5,4.82e-32,1,1,"Galeommatoidea","superfamily","106228","Bornia sebetia","species","1411933","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Kelliidae",2174
"DUP_2801;size=2055",54,7,6.27e-36,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2055
"DUP_28050;size=63",6,5,1.73e-31,2,2,"Euphausiidae","family","6817","Thysanoessa","genus","48145","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",63
"DUP_28149;size=74",104,58,6.18e-46,18,15,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,74
"DUP_28173;size=68",104,76,2.89e-39,26,21,"Gnathostomata","below-subphylum","7776","Actinopteri","class","186623",NA,NA,NA,"Actinopteri",NA,NA,68
"DUP_282;size=30014",31,21,6.13e-51,21,13,"Neognathae","superorder","8825","Neognathae","superorder","8825","Aves",NA,NA,"Aves",NA,NA,30014
"DUP_28272;size=60",1,1,7.9e-45,1,1,"Cardiocladius sp. MNK-2008","species","529014","Cardiocladius sp. MNK-2008","species","529014","Insecta","Diptera","Chironomidae","Insecta","Diptera","Chironomidae",60
"DUP_28339;size=124",16,1,3.28e-23,13,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",124
"DUP_2841;size=1620",13,12,2.89e-39,1,1,"Echinoidea","class","7625","Caenopedina cubensis","species","337414","Echinoidea",NA,NA,"Echinoidea","Pedinoida",NA,1620
"DUP_28490;size=58",104,60,1.37e-32,104,60,"Echinoidea","class","7625","Echinoidea","class","7625","Echinoidea",NA,NA,"Echinoidea",NA,NA,58
"DUP_285;size=18719",104,60,1.36e-32,104,60,"Echinoidea","class","7625","Echinoidea","class","7625","Echinoidea",NA,NA,"Echinoidea",NA,NA,18719
"DUP_28539;size=63",3,2,3.69e-48,3,2,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri","Anabantiformes",NA,"Actinopteri","Anabantiformes",NA,63
"DUP_286;size=14678",1,1,1.36e-32,1,1,"Ptychodera flava","species","63121","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",14678
"DUP_28663;size=80",71,41,2.8e-28,36,28,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,80
"DUP_2868;size=1902",80,13,2.27e-20,1,1,"Protostomia","below-kingdom","33317","Barnea candida","species","457832",NA,NA,NA,"Bivalvia","Myoida","Pholadidae",1902
"DUP_28839;size=64",1,1,1.34e-42,1,1,"Loxosomella aloxiata","species","393182","Loxosomella aloxiata","species","393182",NA,NA,"Loxosomatidae",NA,NA,"Loxosomatidae",64
"DUP_28968;size=126",52,6,4.78e-47,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",126
"DUP_28985;size=59",5,4,1.75e-26,1,1,"Cheilostomatida","order","10207","Conopeum seurati","species","450191","Gymnolaemata","Cheilostomatida",NA,"Gymnolaemata","Cheilostomatida","Electridae",59
"DUP_29;size=655578",1,1,1.77e-26,1,1,"Farrella repens","species","97262","Farrella repens","species","97262","Gymnolaemata","Ctenostomatida","Farrellidae","Gymnolaemata","Ctenostomatida","Farrellidae",655578
"DUP_290;size=18942",1,1,1.05e-23,1,1,"Sphaeramene polytylotos","species","156274","Sphaeramene polytylotos","species","156274","Malacostraca","Isopoda","Sphaeromatidae","Malacostraca","Isopoda","Sphaeromatidae",18942
"DUP_29247;size=82",5,1,2.22e-45,4,1,"Homo sapiens","species","9606","Homo sapiens","species","9606","Mammalia","Primates","Hominidae","Mammalia","Primates","Hominidae",82
"DUP_2933;size=1806",1,1,2.85e-49,1,1,"Ptychodera flava","species","63121","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",1806
"DUP_2934;size=2446",12,12,4.85e-27,2,2,"Tellinoidea","superfamily","98297","Tellinidae","family","52798","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Tellinidae",2446
"DUP_29368;size=66",3,2,2.96e-24,2,1,"Veneridae","family","6592","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",66
"DUP_29549;size=59",31,26,4.78e-47,5,5,"Euechinoidea","subclass","7638","Spatangoida","order","41317","Echinoidea",NA,NA,"Echinoidea","Spatangoida",NA,59
"DUP_29584;size=63",113,35,6.18e-46,105,28,"Laurasiatheria","superorder","314145","Laurasiatheria","superorder","314145","Mammalia",NA,NA,"Mammalia",NA,NA,63
"DUP_2959;size=2171",51,6,6.18e-46,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2171
"DUP_297;size=18212",7,6,3.75e-28,2,2,"Tellinoidea","superfamily","98297","Soletellina","genus","1125680","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Psammobiidae",18212
"DUP_2971;size=1535",3,2,1.37e-27,2,1,"Modiolus","genus","40255","Modiolus modiolus","species","40256","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",1535
"DUP_3;size=9372522",102,67,4.74e-52,102,67,"Percomorphaceae","below-infraclass","1489872","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,9372522
"DUP_3013;size=4261",47,33,2.89e-39,1,1,"Euteleostomi","below-subphylum","117571","Salamandra salamandra bernardezi","subspecies","297008",NA,NA,NA,"Amphibia","Caudata","Salamandridae",4261
"DUP_30138;size=71",3,3,1.72e-36,3,3,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",71
"DUP_3023;size=1567",8,3,1.34e-32,3,1,"Euheterodonta","infraclass","735337","Panopea generosa","species","1049056","Bivalvia",NA,NA,"Bivalvia","Myoida","Hiatellidae",1567
"DUP_3024;size=2321",7,1,1.72e-46,7,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2321
"DUP_3030;size=4859",105,89,1.33e-47,6,4,"Gnathostomata","below-subphylum","7776","Percomorphaceae","below-infraclass","1489872",NA,NA,NA,"Actinopteri",NA,NA,4859
"DUP_30463;size=78",95,73,6.18e-46,9,7,"Euteleostomi","below-subphylum","117571","Euteleostomi","below-subphylum","117571",NA,NA,NA,NA,NA,NA,78
"DUP_3066;size=1532",13,4,2.27e-30,12,3,"Euphausiidae","family","6817","Euphausiidae","family","6817","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",1532
"DUP_3098;size=2229",7,1,3.73e-48,7,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",2229
"DUP_31;size=601903",3,1,1.69e-51,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",601903
"DUP_31181;size=64",1,1,3.7e-38,1,1,"Macoma contabulata","species","1230539","Macoma contabulata","species","1230539","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",64
"DUP_31242;size=58",2,2,2.26e-25,2,2,"Tellinidae","family","52798","Tellinidae","family","52798","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",58
"DUP_3127;size=1694",1,1,2.24e-40,1,1,"Caenopedina cubensis","species","337414","Caenopedina cubensis","species","337414","Echinoidea","Pedinoida",NA,"Echinoidea","Pedinoida",NA,1694
"DUP_31288;size=77",105,2,6.18e-46,101,1,"Homo sapiens","species","9606","Homo sapiens","species","9606","Mammalia","Primates","Hominidae","Mammalia","Primates","Hominidae",77
"DUP_3131;size=1566",16,13,6.27e-36,1,1,"Bilateria","below-kingdom","33213","Metalia nobilis","species","271719",NA,NA,NA,"Echinoidea","Spatangoida","Brissidae",1566
"DUP_316;size=18711",12,2,3.73e-48,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",18711
"DUP_3170;size=1951",2,2,2.9e-29,2,2,"Tresus","genus","31207","Tresus","genus","31207","Bivalvia","Veneroida","Mactridae","Bivalvia","Veneroida","Mactridae",1951
"DUP_32;size=544084",15,4,4.88e-32,5,1,"Gnathophiurina","infraorder","41168","Amphipholis squamata","species","48271","Ophiuroidea","Ophiurida",NA,"Ophiuroidea","Ophiurida","Amphiuridae",544084
"DUP_3202;size=2148",100,46,8.05e-40,4,3,"Euteleostomi","below-subphylum","117571","Leucopternis","genus","321092",NA,NA,NA,"Aves","Falconiformes","Accipitridae",2148
"DUP_322;size=14659",5,3,2.22e-45,5,3,"Clupeocephala","below-infraclass","186625","Clupeocephala","below-infraclass","186625","Actinopteri","Clupeiformes",NA,"Actinopteri","Clupeiformes",NA,14659
"DUP_32298;size=76",1,1,6.22e-41,1,1,"Narcine entemedor","species","1213697","Narcine entemedor","species","1213697","Chondrichthyes","Torpediniformes","Narcinidae","Chondrichthyes","Torpediniformes","Narcinidae",76
"DUP_32493;size=71",72,42,1.34e-32,1,1,"Sessilia","order","116167","Chthamalus panamensis","species","116182","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia","Chthamalidae",71
"DUP_326;size=16392",16,16,1.04e-28,2,2,"Tellinoidea","superfamily","98297","Soletellina","genus","1125680","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Psammobiidae",16392
"DUP_3261;size=1652",5,2,7.9e-45,5,2,"Evadne","genus","141402","Evadne","genus","141402","Branchiopoda","Diplostraca","Podonidae","Branchiopoda","Diplostraca","Podonidae",1652
"DUP_32618;size=70",100,8,1.03e-43,13,3,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",70
"DUP_3273;size=1485",100,9,1.36e-32,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",1485
"DUP_3276;size=2554",27,14,7.9e-45,19,8,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,2554
"DUP_3278;size=1359",61,16,6.08e-31,13,3,"Placobranchoidea","superfamily","71491","Placobranchidae","family","71492","Gastropoda",NA,NA,"Gastropoda",NA,"Placobranchidae",1359
"DUP_32863;size=58",23,3,2.85e-49,1,1,"Stichopodidae","family","7687","Apostichopus japonicus","species","307972","Holothuroidea","Aspidochirotida","Stichopodidae","Holothuroidea","Aspidochirotida","Stichopodidae",58
"DUP_329;size=18777",18,17,4.74e-52,18,17,"Asteroidea","class","7588","Asteroidea","class","7588","Asteroidea",NA,NA,"Asteroidea",NA,NA,18777
"DUP_33;size=951835",3,1,4.74e-52,3,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",951835
"DUP_3306;size=1340",28,5,1.7e-46,2,1,"Daphnia","genus","6668","Daphnia pulex","species","6669","Branchiopoda","Diplostraca","Daphniidae","Branchiopoda","Diplostraca","Daphniidae",1340
"DUP_33220;size=69",1,1,3.73e-33,1,1,"Balanus sp. 2 MPL-2014","species","1560665","Balanus sp. 2 MPL-2014","species","1560665","Maxillopoda","Sessilia","Balanidae","Maxillopoda","Sessilia","Balanidae",69
"DUP_33793;size=100",2,2,2.21e-40,2,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",100
"DUP_339;size=16081",1,1,3.7e-38,1,1,"Caprella californica","species","1305605","Caprella californica","species","1305605","Malacostraca","Amphipoda","Caprellidae","Malacostraca","Amphipoda","Caprellidae",16081
"DUP_3396;size=1303",4,1,2.25e-35,1,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",1303
"DUP_34;size=467216",18,4,9.78e-38,2,1,"Placobranchoidea","superfamily","71491","Elysia pusilla","species","380558","Gastropoda",NA,NA,"Gastropoda",NA,"Placobranchidae",467216
"DUP_340;size=14862",100,9,1.36e-32,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",14862
"DUP_3400;size=1312",61,16,6.08e-31,13,3,"Placobranchoidea","superfamily","71491","Placobranchidae","family","71492","Gastropoda",NA,NA,"Gastropoda",NA,"Placobranchidae",1312
"DUP_34173;size=90",79,46,7.95e-40,36,27,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,90
"DUP_34231;size=61",21,5,3.75e-28,3,1,"Euheterodonta","infraclass","735337","Panopea generosa","species","1049056","Bivalvia",NA,NA,"Bivalvia","Myoida","Hiatellidae",61
"DUP_34233;size=63",4,1,6.25e-21,3,1,"Mya arenaria","species","6604","Mya arenaria","species","6604","Bivalvia","Myoida","Myidae","Bivalvia","Myoida","Myidae",63
"DUP_34594;size=64",91,9,2.85e-49,91,9,"Gallus","genus","9030","Gallus","genus","9030","Aves","Galliformes","Phasianidae","Aves","Galliformes","Phasianidae",64
"DUP_3477;size=1273",1,1,3.77e-33,1,1,"Modiolus rumphii","species","1411923","Modiolus rumphii","species","1411923","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",1273
"DUP_3487;size=1510",1,1,7.9e-45,1,1,"Gammarus balcanicus","species","315706","Gammarus balcanicus","species","315706","Malacostraca","Amphipoda","Gammaridae","Malacostraca","Amphipoda","Gammaridae",1510
"DUP_351;size=18042",3,1,4.74e-52,3,1,"Porichthys notatus","species","45384","Porichthys notatus","species","45384","Actinopteri","Batrachoidiformes","Batrachoididae","Actinopteri","Batrachoidiformes","Batrachoididae",18042
"DUP_35118;size=63",100,5,1.03e-43,3,2,"Sus","genus","9822","Sus scrofa","species","9823","Mammalia",NA,"Suidae","Mammalia",NA,"Suidae",63
"DUP_3527;size=1280",3,1,4.75e-42,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",1280
"DUP_3530;size=1340",1,1,1.36e-32,1,1,"Ptychodera flava","species","63121","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",1340
"DUP_3542;size=1470",3,1,2.9e-29,3,1,"Panopea generosa","species","1049056","Panopea generosa","species","1049056","Bivalvia","Myoida","Hiatellidae","Bivalvia","Myoida","Hiatellidae",1470
