"X1","X2","dist","Bray_Curtis","Morisita","Morisita_Horn","Jaccard","Gower","Bray_Curtis_bin","Morisita_bin","Morisita_Horn_bin","Jaccard_bin","Gower_bin"
"PCT-N-0125","PCT-N-1000",874.998483733572,0.506253966742057,0.784116322106454,0.784093649322512,0.33891568946154,0.854741562405392,0.272727272727273,1,0.272727272727273,0.157894736842105,0.783783783783784
"PCT-C-0125","PCT-C-1000",874.999827082345,0.524653677303259,0.622397198411728,0.622382409860722,0.355613911955439,0.904252187188105,0.424242424242424,1,0.424242424242424,0.269230769230769,0.871621621621622
"PCT-C-0500","PCT-S-0250",878.596660157125,0.305056617749898,0.381733917639611,0.381728168599431,0.179980417602459,0.92092728568694,0.32258064516129,1,0.32258064516129,0.192307692307692,0.858108108108108
"PCT-C-0250","PCT-S-0000",878.613403043507,0.207157482417876,0.410768720498689,0.41075888467008,0.11554694870649,0.844401881523077,0.1875,1,0.1875,0.103448275862069,0.824324324324324
"PCT-C-1000","PCT-N-0500",897.952231520549,0.313624464552219,0.362856878349887,0.36285153176134,0.185975459178458,0.919075474017098,0.384615384615385,1,0.384615384615385,0.238095238095238,0.891891891891892
"PCT-C-0500","PCT-N-0000",897.985027347076,0.165015188973897,0.113445941544833,0.113442848863278,0.0899272778621104,0.903939656797568,0.375,1,0.375,0.230769230769231,0.864864864864865
"PCT-C-0125","PCT-N-0500",918.304203073702,0.388801717570737,0.459105153662183,0.45909677898906,0.241312147493433,0.885359559727009,0.32258064516129,1,0.32258064516129,0.192307692307692,0.858108108108108
"PCT-S-0075","PCT-S-1000",924.997925746793,0.427174155992844,0.601612225181533,0.60159051609515,0.271596602777402,0.868469342938892,0.263157894736842,1,0.263157894736842,0.151515151515152,0.810810810810811
"PCT-C-0075","PCT-C-1000",925.001952280035,0.495650728249023,0.667377230598417,0.66736188982773,0.329478491169882,0.905464857215963,0.424242424242424,1,0.424242424242424,0.269230769230769,0.871621621621622
"PCT-N-0075","PCT-N-1000",925.002275898008,0.572764523164365,0.845994135839352,0.845972896459762,0.40131045819731,0.872380167464684,0.340425531914894,1,0.340425531914894,0.205128205128205,0.790540540540541
"PCT-C-0500","PCT-S-0125",940.637742064843,0.308044933606094,0.40365033684717,0.403640908103881,0.182064488427955,0.878224055905555,0.263157894736842,1,0.263157894736842,0.151515151515152,0.810810810810811
"PCT-C-0075","PCT-N-0500",944.269306470547,0.238887562339722,0.279790178236786,0.279785219961954,0.135645832276953,0.896054561265718,0.387096774193548,1,0.387096774193548,0.24,0.871621621621622
"PCT-C-0500","PCT-S-0075",968.863732210178,0.456541348110156,0.501738603609676,0.501722689870628,0.29579111014808,0.901751792562531,0.41025641025641,1,0.41025641025641,0.258064516129032,0.844594594594595
"PCT-C-0500","PCT-N-1000",986.660830636993,0.44278672642063,0.488444545355462,0.488430046240613,0.28434558960755,0.891544648108679,0.465116279069767,1,0.465116279069767,0.303030303030303,0.844594594594595
"PCT-C-0000","PCT-N-0500",986.692465671315,0.147111629764199,0.154115438904469,0.154112458128094,0.0793958406385146,0.887001724923847,0.333333333333333,1,0.333333333333333,0.2,0.864864864864865
"PCT-C-0250","PCT-S-1000",997.001785745384,0.213556707957088,0.297083044637848,0.297073048240201,0.119542953816839,0.83206459408044,0.176470588235294,1,0.176470588235294,0.0967741935483871,0.810810810810811
"PCT-S-0000","PCT-S-1000",999.99555519855,0.280734800085442,0.560859633422568,0.56084628175447,0.163287665043993,0.86912793235123,0.133333333333333,1,0.133333333333333,0.0714285714285714,0.824324324324324
"PCT-N-1000","PCT-N-2000",999.997875319077,0.324722193903558,0.418782973523494,0.418771190369066,0.193831848498126,0.819070992147859,0.25531914893617,1,0.25531914893617,0.146341463414634,0.763513513513513
"PCT-C-0000","PCT-C-1000",999.999349135062,0.368687925130541,0.622456817010314,0.622441008304081,0.226006985916563,0.894135757156537,0.25,1,0.25,0.142857142857143,0.837837837837838
"PCT-N-0000","PCT-N-1000",1000.00109411817,0.301174102128619,0.358531795922314,0.358520731150097,0.177283677218477,0.888462252055276,0.390243902439024,1,0.390243902439024,0.242424242424243,0.831081081081081
"PCT-C-1000","PCT-C-2000",1000.00189630553,0.63864297378516,0.836735818022094,0.836723173769737,0.469122325361528,0.941829190336711,0.363636363636364,1,0.363636363636364,0.222222222222222,0.905405405405405
"PCT-S-1000","PCT-S-2000",1000.00244008069,0.248539520152339,0.196613737694866,0.196610575107673,0.141904155424595,0.888751791855388,0.230769230769231,1,0.230769230769231,0.130434782608696,0.864864864864865
"PCT-C-1000","PCT-S-0500",1014.32909568529,0.315332358841575,0.415924043579671,0.415913896892828,0.187177785776632,0.904844807919381,0.344827586206897,1,0.344827586206897,0.208333333333333,0.871621621621622
"PCT-C-0500","PCT-S-0000",1014.35620593541,0.178676900228265,0.323529005919105,0.323522064444533,0.0981028024355803,0.886288424645992,0.129032258064516,1,0.129032258064516,0.0689655172413793,0.817567567567568
"PCT-C-1000","PCT-N-0250",1037.80625357877,0.402277955070436,0.553911089127897,0.553897841596029,0.251782189741376,0.923784692951279,0.444444444444444,1,0.444444444444444,0.285714285714286,0.898648648648649
"PCT-C-0125","PCT-S-1000",1078.14750740367,0.436177137669631,0.610629861798005,0.610610190607577,0.278917227888363,0.866085141482772,0.342857142857143,1,0.342857142857143,0.206896551724138,0.844594594594595
"PCT-C-0075","PCT-S-1000",1112.88623771372,0.618424467605557,0.726181102561573,0.726158620371559,0.447622625839175,0.879983116382878,0.342857142857143,1,0.342857142857143,0.206896551724138,0.844594594594595
"PCT-C-1000","PCT-N-0125",1122.16879658043,0.430069292133305,0.555842919466793,0.555830933853712,0.273941575878661,0.906124293129253,0.4375,1,0.4375,0.28,0.878378378378378
"PCT-C-0250","PCT-N-1000",1152.30735305974,0.228472928039365,0.279086239801545,0.279076786075471,0.12896948155949,0.82379118440156,0.181818181818182,1,0.181818181818182,0.1,0.756756756756757
"PCT-C-1000","PCT-N-0075",1157.98093164962,0.474946650091561,0.656390780838191,0.656378261473867,0.31142953138005,0.90712651995749,0.457142857142857,1,0.457142857142857,0.296296296296296,0.871621621621622
"PCT-C-1000","PCT-S-2000",1167.02515498745,0.247047775787792,0.273994361886469,0.273990861925988,0.140932406699685,0.916999300769548,0.333333333333333,1,0.333333333333333,0.2,0.891891891891892
"PCT-C-0000","PCT-S-1000",1167.06754812177,0.366187574043281,0.495703320099059,0.495686026131517,0.224130731426437,0.871100070416494,0.352941176470588,1,0.352941176470588,0.214285714285714,0.851351351351351
"PCT-C-1000","PCT-S-0250",1187.79186202387,0.647467935850367,0.908445120890535,0.908433250471785,0.478708012188564,0.940906312774268,0.357142857142857,1,0.357142857142857,0.217391304347826,0.878378378378378
"PCT-C-2000","PCT-N-1000",1213.52137642276,0.652597311480931,0.879972462185063,0.879955414581398,0.484337249021078,0.909317314601626,0.235294117647059,1,0.235294117647059,0.133333333333333,0.824324324324324
"PCT-C-1000","PCT-N-0000",1213.57175406292,0.306576183708217,0.232650174024223,0.232644871001571,0.181039253587179,0.924953297135232,0.482758620689655,1,0.482758620689655,0.318181818181818,0.898648648648649
"PCT-C-0125","PCT-N-1000",1245.72953148225,0.442136028858432,0.64032209401169,0.640301333266125,0.283809136772349,0.860377369693762,0.355555555555556,1,0.355555555555556,0.216216216216216,0.804054054054054
"PCT-C-1000","PCT-S-0125",1284.02407011075,0.630316206338478,0.910531467180492,0.910513460285882,0.460191037709133,0.896724024017677,0.285714285714286,1,0.285714285714286,0.166666666666667,0.831081081081081
"PCT-C-0075","PCT-N-1000",1284.60352208226,0.600430375556226,0.774985489017527,0.774961346754144,0.429010722346059,0.90320924707792,0.533333333333333,1,0.533333333333333,0.363636363636364,0.858108108108108
"PCT-C-1000","PCT-S-0075",1323.86380047315,0.425830470758949,0.727403852533384,0.727384833898574,0.27051118881983,0.892300712042868,0.222222222222222,1,0.222222222222222,0.125,0.810810810810811
"PCT-C-1000","PCT-N-2000",1344.24679634461,0.210106078732096,0.336527409778397,0.336520323147495,0.117384654048807,0.843936201007189,0.171428571428571,1,0.171428571428571,0.09375,0.804054054054054
"PCT-C-0000","PCT-N-1000",1344.2921039523,0.416268132844392,0.569768800338262,0.569748784729384,0.262840030864576,0.863957047883247,0.363636363636364,1,0.363636363636364,0.222222222222222,0.810810810810811
"PCT-C-2000","PCT-S-1000",1384.82198502779,0.495600948368235,0.696109263586007,0.696095833935184,0.329434499330929,0.908877156822427,0.25,1,0.25,0.142857142857143,0.878378378378378
"PCT-C-1000","PCT-S-0000",1384.85909241241,0.475318908093517,0.789805405512668,0.789790976339277,0.311749723018584,0.901644085541295,0.142857142857143,1,0.142857142857143,0.076923076923077,0.837837837837838
"PCT-S-0500","PCT-S-2000",1499.99820938482,0.2258764615749,0.176693250895828,0.17669042373917,0.127317211390708,0.89958023850927,0.24,1,0.24,0.136363636363636,0.871621621621622
"PCT-N-0500","PCT-N-2000",1499.99891819207,0.0745486978513846,0.0391104182338212,0.0391097779007025,0.038717519247667,0.838594111370595,0.181818181818182,1,0.181818181818182,0.1,0.817567567567568
"PCT-C-0500","PCT-C-2000",1500.00278584918,0.305553261554025,0.400968354942884,0.400961321538121,0.180326270883118,0.921950517868261,0.32,1,0.32,0.19047619047619,0.885135135135135
"PCT-C-0500","PCT-S-2000",1572.5880174271,0.228036788718264,0.13280994553225,0.132807991702762,0.128691604468083,0.907639418039692,0.296296296296296,1,0.296296296296296,0.173913043478261,0.871621621621622
"PCT-N-0250","PCT-S-0500",1583.65213292498,0.3227153592464,0.315539231266382,0.315529025493161,0.192403454610664,0.904074367281107,0.5,1,0.5,0.333333333333333,0.905405405405405
"PCT-N-0000","PCT-S-0250",1583.68561922748,0.281234513064064,0.131062764513077,0.131060735354965,0.163625878691237,0.945683605866378,0.482758620689655,1,0.482758620689655,0.318181818181818,0.898648648648649
"PCT-N-0075","PCT-S-0250",1584.15664676865,0.338823853543874,0.463651362354436,0.4636452119821,0.203966240586048,0.902219280757601,0.457142857142857,1,0.457142857142857,0.296296296296296,0.871621621621622
"PCT-N-0125","PCT-S-0250",1586.43649044059,0.272954288364187,0.337592438752479,0.33758745445483,0.158046939073577,0.894684529812342,0.25,1,0.25,0.142857142857143,0.837837837837838
"PCT-N-0000","PCT-S-0125",1586.45671786565,0.214695380127508,0.142511698319412,0.142508254904533,0.120257001375396,0.890759590259776,0.333333333333333,1,0.333333333333333,0.2,0.837837837837838
"PCT-N-0000","PCT-S-0075",1590.31786102237,0.182015720123061,0.136809250799135,0.136804732108899,0.100119523660227,0.896677264032582,0.378378378378378,1,0.378378378378378,0.233333333333333,0.844594594594595
"PCT-N-0125","PCT-S-0500",1590.74164819091,0.252859572529885,0.331652115556693,0.331642621400379,0.144727675322601,0.864209165094384,0.242424242424242,1,0.242424242424242,0.137931034482759,0.831081081081081
"PCT-N-0075","PCT-S-0125",1592.82355741232,0.370517534073823,0.514476309480279,0.51446595745132,0.227383566145479,0.862116301188684,0.380952380952381,1,0.380952380952381,0.235294117647059,0.824324324324324
"PCT-N-0075","PCT-S-0500",1596.3184443346,0.364861433862506,0.403833365972079,0.403823324188526,0.223137929358719,0.87483197345063,0.388888888888889,1,0.388888888888889,0.241379310344828,0.851351351351351
"PCT-N-4000","PCT-S-4000",1598.44729991863,0.0227929877258106,0.00830376884397044,0.00830370054024709,0.0115278711760152,0.879003436326548,0.206896551724138,1,0.206896551724138,0.115384615384615,0.837837837837838
"PCT-N-2000","PCT-S-2000",1598.73792916342,0.198121093674413,0.110471625648346,0.110470064782373,0.109952501790714,0.843281198380036,0.129032258064516,1,0.129032258064516,0.0689655172413793,0.817567567567568
"PCT-N-1000","PCT-S-1000",1598.87794656793,0.493287183737142,0.70412979236859,0.704106134057788,0.327392969922866,0.866391283592872,0.333333333333333,1,0.333333333333333,0.2,0.810810810810811
"PCT-N-0500","PCT-S-0500",1598.95534514241,0.25671462226744,0.282765092885885,0.282759814004045,0.147259092255647,0.900497598678925,0.444444444444444,1,0.444444444444444,0.285714285714286,0.898648648648649
"PCT-N-0250","PCT-S-0250",1598.99159384876,0.361000763904958,0.501943969562056,0.501935879057516,0.22025682255048,0.932394451859444,0.37037037037037,1,0.37037037037037,0.227272727272727,0.885135135135135
"PCT-N-0125","PCT-S-0125",1599.00480639049,0.259499092460388,0.380131269412892,0.380122594699804,0.149094488452303,0.851506310641171,0.205128205128205,1,0.205128205128205,0.114285714285714,0.790540540540541
"PCT-N-0075","PCT-S-0075",1599.01617625815,0.326538594383176,0.445963103483309,0.445951210854145,0.19512765175652,0.865970627751522,0.372093023255814,1,0.372093023255814,0.228571428571429,0.817567567567568
"PCT-N-0000","PCT-S-0000",1599.02784621181,0.0277154761190592,0.0410374262817652,0.0410365168215466,0.0140524735571734,0.889754280724451,0.137931034482759,1,0.137931034482759,0.0740740740740741,0.831081081081081
"PCT-N-0125","PCT-S-0075",1606.73040239291,0.224664417122997,0.349982784562989,0.349971982078898,0.126547577421345,0.851982787624079,0.2,1,0.2,0.111111111111111,0.783783783783784
"PCT-N-0500","PCT-S-1000",1607.48136430224,0.291646661133152,0.351634553792985,0.351627956499006,0.170717997558164,0.890230787247301,0.357142857142857,1,0.357142857142857,0.217391304347826,0.878378378378378
"PCT-N-0000","PCT-S-0500",1607.55717223718,0.254280538252134,0.153152033363505,0.153147355094909,0.145659450916323,0.911962148940231,0.466666666666667,1,0.466666666666667,0.304347826086956,0.891891891891892
"PCT-N-0075","PCT-S-0000",1611.17390524605,0.18015327168655,0.270706847352186,0.270701818037097,0.0989936508848235,0.862547197183629,0.171428571428571,1,0.171428571428571,0.09375,0.804054054054054
"PCT-N-0250","PCT-S-0125",1621.12890212167,0.360985735225493,0.529321843169347,0.529308402660922,0.220245633600484,0.889582984879285,0.294117647058823,1,0.294117647058824,0.172413793103448,0.837837837837838
"PCT-N-0125","PCT-S-0000",1621.14513186762,0.0866199425643924,0.157982825136384,0.157979510943443,0.0452706414639253,0.853855898746424,0.125,1,0.125,0.0666666666666667,0.810810810810811
"PCT-C-2000","PCT-N-0500",1624.52464053684,0.484861406015306,0.576191063728595,0.576184121251793,0.320011257016534,0.935720853744399,0.3,1,0.3,0.176470588235294,0.905405405405405
"PCT-N-0250","PCT-S-0075",1632.58221565368,0.340247939260998,0.445032629201711,0.445017021891029,0.204999257003184,0.889532998254424,0.285714285714286,1,0.285714285714286,0.166666666666667,0.831081081081081
"PCT-N-0500","PCT-S-0250",1652.4163378203,0.233613743146676,0.244582980075653,0.244580411917543,0.132255186112488,0.929018940731323,0.384615384615385,1,0.384615384615385,0.238095238095238,0.891891891891892
"PCT-N-0250","PCT-S-0000",1652.45345756621,0.231317894753111,0.448234835909066,0.448224419615861,0.130785455490783,0.896366780530913,0.148148148148148,1,0.148148148148148,0.08,0.844594594594595
"PCT-N-0250","PCT-S-1000",1668.91931708875,0.362408148983321,0.444840748387554,0.44482630268152,0.221305540057692,0.892050896458106,0.344827586206897,1,0.344827586206897,0.208333333333333,0.871621621621622
